:START_ID(Paper),:END_ID(Paper)
033275ccc2c7c5c38592ae893da0b5923cf90717,7d275bb20b36926e039fb604f9fb93340a70e63c
033275ccc2c7c5c38592ae893da0b5923cf90717,b45ea6ddc9d964116addaf1dafd0641d78a6228e
033275ccc2c7c5c38592ae893da0b5923cf90717,2029349c55c1dba3493c5b3bd25152f18ba21ae2
033275ccc2c7c5c38592ae893da0b5923cf90717,fd2be70debe968d67514507c1bc362c78867ff15
033275ccc2c7c5c38592ae893da0b5923cf90717,3f4dff0c50a2edc4d38973669f8459449f114e28
033275ccc2c7c5c38592ae893da0b5923cf90717,76b042a91efd3d8f61e44f421b1839cb0d9fc309
033275ccc2c7c5c38592ae893da0b5923cf90717,a43425af7413e62c816a8fc007ab443465761829
033275ccc2c7c5c38592ae893da0b5923cf90717,e7139f6831f32bff95c1a9cfc9b10ec4f24ce36b
033275ccc2c7c5c38592ae893da0b5923cf90717,6845bea94b2fb17d4377b3bb2bd10f73a959f9cc
033275ccc2c7c5c38592ae893da0b5923cf90717,5ccc962347e31f21482ba534cb1772e6e1e3ae02
033275ccc2c7c5c38592ae893da0b5923cf90717,c2329c685f11efa25c562f97be71ff03103423fd
033275ccc2c7c5c38592ae893da0b5923cf90717,c663d4b4d413ba306229cd42f9339e939052b11f
033275ccc2c7c5c38592ae893da0b5923cf90717,d94e7aeab88d07f0b50b7866ceb5baa3c29be859
033275ccc2c7c5c38592ae893da0b5923cf90717,6c943670dca38bfc7c8b477ae7c2d1fba1ad3691
033275ccc2c7c5c38592ae893da0b5923cf90717,d565f60b11032fe9d9d842eb6b67057c97638c71
033275ccc2c7c5c38592ae893da0b5923cf90717,12f7273cdcb8fde49b4c84d16ba41d6c7da55ba5
033275ccc2c7c5c38592ae893da0b5923cf90717,b2bc1dbbd46352637ebbd0a38a6d92b56d5819ec
033275ccc2c7c5c38592ae893da0b5923cf90717,d2c177f6386e7b88b406e2f741ed5387e4ced3b0
033275ccc2c7c5c38592ae893da0b5923cf90717,40047a74b707743157051d38f76061ba5ff9aab4
033275ccc2c7c5c38592ae893da0b5923cf90717,2d80d0b053179988f2155ea9eaf57b60a7742c16
033275ccc2c7c5c38592ae893da0b5923cf90717,01bd16e4deb7542d2c24f92a3c8cb8530d65fa09
033275ccc2c7c5c38592ae893da0b5923cf90717,1cbbe1a129c0d1f53d8e16ca74238334372507dc
033275ccc2c7c5c38592ae893da0b5923cf90717,214091eea096323f2b7c38a4b7b4ce6d7f2bcd1f
033275ccc2c7c5c38592ae893da0b5923cf90717,c86e5250ded531f8b7747ec05f3b49ba994359ee
033275ccc2c7c5c38592ae893da0b5923cf90717,334f4d63c8974c685389ffee8d8ea907c8b583f3
033275ccc2c7c5c38592ae893da0b5923cf90717,41113259f3438532ede5b42fd29755605af608fe
033275ccc2c7c5c38592ae893da0b5923cf90717,14d52d4ec14eba80c267e39f2b28442c726046c0
033275ccc2c7c5c38592ae893da0b5923cf90717,2d471a31d55ab1317167e4d9df270ca02d3749bc
033275ccc2c7c5c38592ae893da0b5923cf90717,1a403141486c158533d712f189c11fdf5c1e4d72
033275ccc2c7c5c38592ae893da0b5923cf90717,014573511023325bc1b5c9c42ac962b7f28e673e
033275ccc2c7c5c38592ae893da0b5923cf90717,04e00a4f0d5b7aea0cd51cddefbf6c8b48318dcf
033275ccc2c7c5c38592ae893da0b5923cf90717,498687015d52ea85e3feda8b76c6291ac26f3656
033275ccc2c7c5c38592ae893da0b5923cf90717,5437e8adab596d7294124c0e798708e050e25321
033275ccc2c7c5c38592ae893da0b5923cf90717,055cd2faeebc7a9df43923d554a61ae924a4af6b
033275ccc2c7c5c38592ae893da0b5923cf90717,53eecd3d126a11911b53c639a7a808cac4fbf127
033275ccc2c7c5c38592ae893da0b5923cf90717,5cc58bcfb9bf39d4114eab88fca36eb0ce36afd9
033275ccc2c7c5c38592ae893da0b5923cf90717,4f210afb00371eb1dda1dd618335184857235c16
033275ccc2c7c5c38592ae893da0b5923cf90717,b4ba06e178e3a56436d1253b794669d4831be328
033275ccc2c7c5c38592ae893da0b5923cf90717,d6d1403e4ae95776e75e12378e675a82101cf33c
033275ccc2c7c5c38592ae893da0b5923cf90717,0ab2ecf1748b62c9c00861e21248fb6d483a542a
033275ccc2c7c5c38592ae893da0b5923cf90717,5f19ae1135a9500940978104ec15a5b8751bc7d2
033275ccc2c7c5c38592ae893da0b5923cf90717,d7f9bc1acde978072050b6fe2dfdb237f94e480e
033275ccc2c7c5c38592ae893da0b5923cf90717,4baf6f668b6b10a33a16f12aa51b0edef02b1c35
033275ccc2c7c5c38592ae893da0b5923cf90717,1b6e810ce0afd0dd093f789d2b2742d047e316d5
033275ccc2c7c5c38592ae893da0b5923cf90717,f92535edac9d1c735feabdb4d94c1157f12d899c
033275ccc2c7c5c38592ae893da0b5923cf90717,52281d6445b9a1f119a49e39d68854206796d396
033275ccc2c7c5c38592ae893da0b5923cf90717,671b9426635f28c602569e56fb99a0e5fc74abca
033275ccc2c7c5c38592ae893da0b5923cf90717,cff582c6d7a28c48e0d37ac3c10ea9a8c3fc4e78
033275ccc2c7c5c38592ae893da0b5923cf90717,0e31660210a4f683fe22acd5bc53f737d765f1f3
033275ccc2c7c5c38592ae893da0b5923cf90717,ae33e3182b2d1502f8f849696f3e79eb2fa5c758
033275ccc2c7c5c38592ae893da0b5923cf90717,e93565f447a42b158df27ba75385f5e2fc30dde7
033275ccc2c7c5c38592ae893da0b5923cf90717,b02acb3d159b06b2319a164378e1e61c3983676f
033275ccc2c7c5c38592ae893da0b5923cf90717,76e9e2ec3de437ffb30d8b7b629f7fe3e61de5c2
033275ccc2c7c5c38592ae893da0b5923cf90717,07a001b5745354c94d0db0b7ffd7bca7285cac86
033275ccc2c7c5c38592ae893da0b5923cf90717,f6c4d57c710b461ece658a0b8e7427e862fef116
033275ccc2c7c5c38592ae893da0b5923cf90717,76305acf2bf94e3a5677f7547098eeffb6649706
033275ccc2c7c5c38592ae893da0b5923cf90717,16529f7194bf7faee8a4e43fd54aefeb8730f236
033275ccc2c7c5c38592ae893da0b5923cf90717,14014c024674991149f3ecf9314c93f7e029ef1a
033275ccc2c7c5c38592ae893da0b5923cf90717,57d1e7ac339e783898f2c3b1af55737cbeee9fc5
033275ccc2c7c5c38592ae893da0b5923cf90717,829ab35ded357b79e70e0ba4a6e4aee9f9705981
033275ccc2c7c5c38592ae893da0b5923cf90717,7ef33fd5b0ef0c4de42cf0afdc9f7dfb0f430b20
033275ccc2c7c5c38592ae893da0b5923cf90717,76db1e8479ae91590bb6c9ef21e347775771978b
033275ccc2c7c5c38592ae893da0b5923cf90717,62ba6604ed24c808062f89f8f41eda3b6a566917
033275ccc2c7c5c38592ae893da0b5923cf90717,99ec4cad0f17f25f5b3c1f9be7de25868901943b
033275ccc2c7c5c38592ae893da0b5923cf90717,e5bb0b110dac70ac19fdb825f4b37b6ccf9eef80
033275ccc2c7c5c38592ae893da0b5923cf90717,f20d66665b65e565f15bf0f0b6442cc1ef04ba18
033275ccc2c7c5c38592ae893da0b5923cf90717,f8a22859230e0ccafefc020dccc66b5a646fe0ac
033275ccc2c7c5c38592ae893da0b5923cf90717,32783724e06cca7328ddcc61e59b026cf624e102
033275ccc2c7c5c38592ae893da0b5923cf90717,fb02c6644008552c9bd0300329cd4221a029da6f
033275ccc2c7c5c38592ae893da0b5923cf90717,45f4585f12ed7310c2dbc487a2aa1ba23c568071
033275ccc2c7c5c38592ae893da0b5923cf90717,acc855d74431537b98de5185e065e4eacbab7b26
033275ccc2c7c5c38592ae893da0b5923cf90717,fffbf0cbafa24f17fe5db8582efaa3406ebd08a4
033275ccc2c7c5c38592ae893da0b5923cf90717,659bf9ce7175e1ec266ff54359e2bd76e0b7ff31
033275ccc2c7c5c38592ae893da0b5923cf90717,83e89d56d0d0e1dfd8b52213e6cc2e191aaaf34b
033275ccc2c7c5c38592ae893da0b5923cf90717,7b12198a77972508689a904c544010b2a406ed20
033275ccc2c7c5c38592ae893da0b5923cf90717,018acec0ec728f5769d937df7b5f21f16db31190
033275ccc2c7c5c38592ae893da0b5923cf90717,b9a5aa5db8836744ff2073e8368520b7a614049f
033275ccc2c7c5c38592ae893da0b5923cf90717,a57af41c3845a6d15ffbe5bd278e971ca9b8124a
033275ccc2c7c5c38592ae893da0b5923cf90717,8c38bffc058d558e7c734032ba63942865e05ae4
033275ccc2c7c5c38592ae893da0b5923cf90717,cd1dffa09c8163b3544a3f19d061ec76749a1e72
033275ccc2c7c5c38592ae893da0b5923cf90717,937fef6a786c4463a3bb19770c704945d1600b66
033275ccc2c7c5c38592ae893da0b5923cf90717,4f00435f66a3dee7d5965fe8696c56f67021f1cc
033275ccc2c7c5c38592ae893da0b5923cf90717,a37a4c15a277e13976af93f5f4b6d2482f4d0f11
033275ccc2c7c5c38592ae893da0b5923cf90717,fe7c22bd8a54ce3490cbae8d65d569b67e4e6d89
033275ccc2c7c5c38592ae893da0b5923cf90717,66f7823be7a0adcd8ed3ecebf00e53daf45bc6bc
033275ccc2c7c5c38592ae893da0b5923cf90717,832fff14d2ed50eb7969c4c4b976c35776548f56
033275ccc2c7c5c38592ae893da0b5923cf90717,55a53ed5f47f6fe77ab037d4375af8bdb3877f95
033275ccc2c7c5c38592ae893da0b5923cf90717,2d08cdc45bbed8cea283d92132b4b88a507a7303
033275ccc2c7c5c38592ae893da0b5923cf90717,521b4e26df0f1cf5763dece14cbb218df152dc59
033275ccc2c7c5c38592ae893da0b5923cf90717,c1d9583bc15f622773305fe033fccb67e15c8a49
033275ccc2c7c5c38592ae893da0b5923cf90717,4b244a6778c95b1df8e9e02332ff8d22e675f628
033275ccc2c7c5c38592ae893da0b5923cf90717,ab2638aa6788435ec8cbb88b9a2b3d66adf6390a
033275ccc2c7c5c38592ae893da0b5923cf90717,35c9c7eecbb03304e7c24bd592b7e98780754320
033275ccc2c7c5c38592ae893da0b5923cf90717,37ea01066a563c661587b7c3f50fbf64d1bf311a
033275ccc2c7c5c38592ae893da0b5923cf90717,49bdeb07b045dd77f0bfe2b44436608770235a23
033275ccc2c7c5c38592ae893da0b5923cf90717,acb7f2cea33f79a212b26eaa6e38dca5c7867786
033275ccc2c7c5c38592ae893da0b5923cf90717,b52603ac4d8bfd18128b3d1a9593e9f8744c8040
033275ccc2c7c5c38592ae893da0b5923cf90717,62ed9bf1d83c8db1f9cbf92ea2f57ea90ef683d9
033275ccc2c7c5c38592ae893da0b5923cf90717,8f096071a09701012c9c279aee2a88143a295935
033275ccc2c7c5c38592ae893da0b5923cf90717,7a941148d8c5865749801b2f9f67f9ad1fba1d25
